update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec,active_steps_jb0,active_steps_jb1
1,-11.874919639460158,-4.033583494314647,3,1,5,37.81039810180664,-0.11144831776618958,74.27868247032166,114,182
2,-12.427738780547006,-10.113692542124582,2,0,5,25.867319107055664,-0.11503492295742035,73.9899377822876,148,136
3,-6.485443505394311,-11.075185193259093,3,0,6,29.78059196472168,-0.12498313933610916,146.845782995224,196,100
4,0.0,-10.052307623540562,1,0,2,8.367368698120117,-0.08640751987695694,219.60652875900269,107,200
5,-6.337113002701474,-10.965724841743102,3,0,6,20.31555938720703,-0.10234959423542023,292.4528784751892,113,172
6,-10.284051342845446,-6.769310718014079,3,0,5,29.450267791748047,-0.1015428900718689,364.9679539203644,190,45
7,-10.186345067483982,-9.917789148970085,3,0,7,19.310731887817383,-0.09672960638999939,437.96363592147827,166,75
8,-5.270554094277986,-11.927337120383719,2,0,3,10.512142181396484,-0.10293939709663391,510.1341459751129,103,200
9,-5.523829841652404,-10.510943809491227,4,1,7,15.127235412597656,-0.08419618010520935,583.180157661438,151,155
10,-10.081420122496047,-11.204421028058865,3,0,6,14.274580001831055,-0.09153386950492859,657.3623147010803,128,157
11,-9.955452061450664,-9.346562376036522,2,0,4,8.304515838623047,-0.07425796985626221,729.5008563995361,123,92
12,-4.247321415755992,-10.09260242512663,3,1,5,10.540197372436523,-0.07927441596984863,802.7659542560577,176,116
13,-9.247080414048671,-10.047905612025177,3,0,7,15.167736053466797,-0.10479909926652908,877.0613136291504,188,61
14,-9.552138466260105,-5.508968314486516,2,0,4,8.520455360412598,-0.09861190617084503,950.4310019016266,176,65
15,-10.860743549661736,-7.7488994809315095,4,0,8,12.907035827636719,-0.10381051898002625,1025.1870262622833,153,70
16,-2.2870517340823344,-7.864725452846808,3,1,4,20.510339736938477,-0.0914551243185997,1098.2158987522125,135,199
17,-10.929503026562934,-9.211836676978162,2,0,5,13.904446601867676,-0.09942304342985153,1170.5119445323944,76,188
18,0.0,-11.180868322512262,1,0,2,3.7764382362365723,-0.10568953305482864,1242.713041305542,146,115
19,-2.917975778769844,-6.7571792400383615,3,1,5,22.8267765045166,-0.07841572910547256,1314.2713158130646,153,109
20,-5.194359345217061,-10.548462212074334,2,0,3,7.267754554748535,-0.08894176036119461,1386.1414077281952,159,156
21,-7.280860419532051,-9.38724603154735,3,0,5,10.254037857055664,-0.09218679368495941,1458.7840354442596,176,85
22,-11.982795218889084,-10.111187343265701,2,0,5,12.105218887329102,-0.12749212980270386,1531.5157489776611,171,49
23,-7.779780459167581,-10.442776937290947,4,0,7,9.427193641662598,-0.0876140221953392,1604.2913420200348,125,165
24,11.92865877700762,-13.821395172143697,1,1,2,14.877154350280762,-0.0920882374048233,1676.1247835159302,196,107
25,-10.228574882607305,-7.508753732392346,4,0,7,10.503278732299805,-0.08903415501117706,1750.3582699298859,158,134
26,-3.394315138824167,-11.025048471063618,3,1,6,17.416109085083008,-0.09980690479278564,1821.9236855506897,42,198
27,-3.0554092852215042,-7.410088773338117,3,1,4,39.902915954589844,-0.1043839156627655,1893.9149904251099,68,180
28,-11.049554632465181,-10.2251708430591,2,0,4,7.935358047485352,-0.09970541298389435,1965.9626121520996,141,200
29,-11.242144393094785,-9.921751985524937,3,0,7,7.141696453094482,-0.09005990624427795,2038.344162940979,117,195
30,0.02211212662260505,-10.231648188900094,3,1,5,18.11608123779297,-0.10268327593803406,2111.5670342445374,199,105
31,-1.9590147192198597,0.0,1,1,0,69.71601104736328,-0.1269385665655136,2183.3946170806885,200,44
32,-10.943413308187964,-6.5636807211531805,3,0,5,6.881959915161133,-0.10994875431060791,2255.722858428955,163,160
33,-6.257592706584326,-10.528358994476992,5,1,10,23.675100326538086,-0.0942024439573288,2329.871737718582,180,110
34,-9.233594731764285,-7.057631998801547,3,0,5,5.679173469543457,-0.09122063219547272,2402.353507757187,99,178
35,-10.33068697499301,-9.157845022223018,2,0,5,10.615394592285156,-0.12661321461200714,2474.384353876114,38,184
36,0.0,-10.0,1,0,2,4.913397789001465,-0.11356175690889359,2547.5109124183655,199,70
37,-11.143383345767134,-5.059780002609839,2,0,4,5.697824478149414,-0.10025027394294739,2621.103017091751,150,121
38,0.0,-9.162346005664473,1,0,2,10.090877532958984,-0.16655977070331573,2692.6055212020874,13,200
39,-7.037404124793018,-7.304697634928819,3,1,4,27.75124168395996,-0.08736243844032288,2765.236444234848,171,118
40,-11.087845616066335,-5.096319676920366,2,0,3,7.449953079223633,-0.08564803004264832,2837.3331384658813,200,116
41,-10.07620548185535,-9.31016102757102,2,0,5,6.82423210144043,-0.11419634521007538,2910.569098711014,117,172
42,-7.637923636452758,-10.204774495178212,3,0,5,13.386373519897461,-0.0765199363231659,2982.609893798828,151,83
43,-8.305475711825128,-11.223902575068745,1,0,3,9.398550033569336,-0.11520636081695557,3054.6715772151947,180,65
44,-10.045692511609902,-8.067482901818659,5,0,9,12.04247760772705,-0.09084226191043854,3128.659230709076,106,177
45,-0.7319554038497847,-8.87721273432314,1,0,1,20.835731506347656,-0.12277936935424805,3200.6000986099243,200,18
46,-9.148797457481592,-10.082726465440535,2,0,5,7.64137077331543,-0.10928760468959808,3273.1354002952576,157,104
47,-5.165244405914259,-9.592881843752815,2,0,3,8.271749496459961,-0.08657363802194595,3344.9028437137604,114,179
48,-10.663176917898388,-11.126594352774987,3,0,6,9.322053909301758,-0.10025379061698914,3419.4612979888916,109,174
49,-10.0,-9.09464846355359,1,0,3,19.97792625427246,-0.05148373171687126,3492.0426728725433,6,200
50,5.474359815483786,-9.265671795900808,2,1,3,23.901596069335938,-0.11828379333019257,3564.8247101306915,150,108
51,-5.477226809668765,-0.12844552634015205,2,1,3,19.623289108276367,-0.08204352855682373,3637.4728808403015,64,152
52,0.0,-11.816190610134745,1,0,2,9.49930191040039,-0.07715490460395813,3709.076715707779,155,59
53,-10.0,0.0,1,0,2,14.74510383605957,-0.13834598660469055,3781.440330028534,200,17
54,-7.3532319662052315,-8.257887506903772,5,0,9,11.742792129516602,-0.07799621671438217,3856.666739463806,172,100
55,-10.095599649608703,-6.62216144434471,3,0,6,9.330011367797852,-0.115016870200634,3929.445067882538,71,194
56,-3.640474057086603,-9.921481117922124,5,1,8,27.4121150970459,-0.09139364212751389,4002.5986108779907,168,109
57,-9.836916975939266,-9.542902190962655,3,0,7,6.922222137451172,-0.07061627507209778,4075.0908377170563,182,153
58,-4.344133814903035,-10.040370753408794,2,0,4,7.982265472412109,-0.09984324127435684,4150.166283369064,199,49
59,-10.2154112192355,-7.751204617872236,5,0,10,12.983372688293457,-0.1026293933391571,4223.181486368179,171,90
60,-6.763512515708239,-2.8368173345277,3,1,4,28.97321319580078,-0.10061262547969818,4297.117784023285,46,200
61,1.5724463714245367,0.0517803631544167,2,2,3,22.11524772644043,-0.0946425348520279,4369.245507478714,200,172
62,-9.87452991605719,-6.783724676598953,3,0,6,10.642877578735352,-0.09261591732501984,4441.873966217041,147,96
63,-2.1271925675778443,-9.794432972831101,4,1,7,21.720422744750977,-0.09675131738185883,4514.881142616272,163,145
64,-9.915049058264632,-2.183826527908677,4,1,7,28.597929000854492,-0.09658049046993256,4588.341256856918,110,128
65,-7.224792503564931,-9.997936948818722,4,0,7,9.481937408447266,-0.1002250611782074,4661.5256135463715,193,139
66,1.402205864957292,-10.186191879687616,2,1,4,22.873023986816406,-0.11478471010923386,4734.167455911636,175,69
