update,avg_reward_jb0,avg_reward_jb1,episodes_completed,goals_reached,collisions,critic_loss,actor_loss,elapsed_sec,active_steps_jb0,active_steps_jb1,max_goal_distance,rolling_success_rate
101,-3.2767570257168472,-10.008875823862482,3,1,6,26.97168731689453,-0.11392582952976227,114.22073173522949,148,86,1.0,0.1667
102,-8.239599662345572,-9.373962278420919,7,0,13,15.199838638305664,-0.10345961153507233,226.41691613197327,191,142,1.0,0.05
103,-10.227224858627585,-10.370396183714396,3,1,6,29.188220977783203,-0.10806386172771454,337.5738699436188,42,194,1.0,0.0769
104,-9.714923834795696,-7.363219208226548,4,0,7,14.314624786376953,-0.09240134060382843,448.49604892730713,172,60,1.0,0.0588
105,-2.4681238400222436,-2.6911572799043566,3,2,5,38.892696380615234,-0.10466990619897842,558.618527173996,192,77,1.0,0.1
106,-6.6015904338801805,-7.994905263779441,6,1,10,31.188413619995117,-0.08269594609737396,670.2876968383789,140,132,1.0,0.0962
107,-5.665834791034244,-9.84647556679494,5,1,9,30.37757110595703,-0.09644520282745361,781.6000137329102,131,189,1.0,0.0968
108,-10.345987491091824,-6.4155643424434325,6,1,12,37.91318130493164,-0.10318337380886078,893.0459294319153,166,79,1.0,0.0946
109,-9.235216382928966,-7.282374337454261,4,0,7,12.170222282409668,-0.09438443183898926,1003.9634449481964,118,152,1.0,0.0854
110,-5.61573245691285,-5.505802317171904,5,2,8,42.340415954589844,-0.09958113729953766,1115.0067203044891,124,165,1.0,0.0978
111,-10.010656114510173,-9.319436923114326,2,0,5,9.210469245910645,-0.09608356654644012,1225.9730603694916,144,136,1.0,0.0889
112,-7.347169487283981,-10.01931633422741,4,0,8,12.60134506225586,-0.1201171875,1336.9415640830994,106,130,1.0,0.0952
113,-10.115979693087889,-2.269819546029784,4,1,6,27.50961685180664,-0.10674244165420532,1447.5135531425476,42,199,1.0,0.093
114,-6.539292285360845,1.1108406804706499,6,4,9,60.230045318603516,-0.13256067037582397,1560.1146116256714,192,157,1.0,0.1333
115,-6.971636988493389,-10.34552681011723,4,0,8,10.954609870910645,-0.1179993599653244,1670.9583840370178,120,132,1.0,0.1087
116,-5.392261623143991,-8.030797007539935,5,1,8,22.18950653076172,-0.0971197634935379,1782.1989328861237,162,166,1.0,0.1111
117,-9.28281654027052,2.864763275207708,5,3,7,45.40721893310547,-0.1110459566116333,1893.4014785289764,72,199,1.0,0.1333
118,1.0924412147500044,0.3953662101676869,2,2,2,50.53520584106445,-0.10489301383495331,2003.9924867153168,99,125,1.0,0.1585
119,-9.700416560001893,-4.710783436733454,4,2,7,38.306846618652344,-0.11132579296827316,2114.8010523319244,89,166,1.0,0.1829
120,-5.310332521111256,-3.3536933004724574,5,2,8,52.447364807128906,-0.1009819358587265,2226.248349905014,172,87,1.0,0.1829
121,-2.5369975784086782,-3.4675429935809,9,5,12,83.34503173828125,-0.08257956802845001,2339.252997636795,132,194,1.0,0.2083
122,0.06061745663101803,-8.846003001673797,2,2,3,36.13487243652344,-0.0991746038198471,2449.3513073921204,141,90,1.0,0.2391
123,-9.364029730719139,3.3498069252856957,4,2,6,40.17692565917969,-0.11872892081737518,2560.4811639785767,87,140,1.0,0.25
124,-5.359319791119551,-3.13461877624524,5,2,8,46.09383010864258,-0.10879495739936829,2671.4556651115417,71,184,1.0,0.2333
125,-4.683578719377399,9.596916668989646,5,5,4,54.47449493408203,-0.09389091283082962,2782.3416328430176,130,181,1.0,0.2826
126,-5.673775546654437,-5.89489745974485,6,2,10,54.62712097167969,-0.09461410343647003,2893.767374753952,89,185,1.0,0.2872
